a,b,label,score
14__M_Left_index_2.BMP,14__M_Left_index_3.BMP,genuine,74.0
14__M_Left_little_1.BMP,14__M_Left_little_2.BMP,genuine,12.82
14__M_Left_little_1.BMP,14__M_Left_little_3.BMP,genuine,78.12
14__M_Left_little_2.BMP,14__M_Left_little_3.BMP,genuine,14.63
14__M_Left_middle_1.BMP,14__M_Left_middle_2.BMP,genuine,20.0
14__M_Left_middle_1.BMP,14__M_Left_middle_3.BMP,genuine,5.56
14__M_Left_middle_2.BMP,14__M_Left_middle_3.BMP,genuine,23.53
14__M_Left_ring_1.BMP,14__M_Left_ring_2.BMP,genuine,86.84
14__M_Left_ring_1.BMP,14__M_Left_ring_3.BMP,genuine,90.0
14__M_Left_ring_2.BMP,14__M_Left_ring_3.BMP,genuine,82.5
14__M_Left_thumb_1.BMP,14__M_Left_thumb_2.BMP,genuine,33.33
14__M_Left_thumb_1.BMP,14__M_Left_thumb_3.BMP,genuine,10.53
14__M_Left_thumb_2.BMP,14__M_Left_thumb_3.BMP,genuine,8.7
14__M_Right_index_1.BMP,14__M_Right_index_2.BMP,genuine,55.88
14__M_Right_index_1.BMP,14__M_Right_index_3.BMP,genuine,88.57
14__M_Right_index_2.BMP,14__M_Right_index_3.BMP,genuine,84.85
14__M_Right_little_1.BMP,14__M_Right_little_2.BMP,genuine,29.55
14__M_Right_little_1.BMP,14__M_Right_little_3.BMP,genuine,97.56
14__M_Right_little_2.BMP,14__M_Right_little_3.BMP,genuine,55.56
14__M_Right_middle_1.BMP,14__M_Right_middle_2.BMP,genuine,96.3
14__M_Right_middle_1.BMP,14__M_Right_middle_3.BMP,genuine,100.0
14__M_Right_middle_2.BMP,14__M_Right_middle_3.BMP,genuine,96.3
14__M_Right_ring_1.BMP,14__M_Right_ring_2.BMP,genuine,90.0
14__M_Right_ring_1.BMP,14__M_Right_ring_3.BMP,genuine,93.33
14__M_Right_ring_2.BMP,14__M_Right_ring_3.BMP,genuine,81.25
14__M_Right_thumb_1.BMP,14__M_Right_thumb_2.BMP,genuine,33.33
14__M_Right_thumb_1.BMP,14__M_Right_thumb_3.BMP,genuine,100.0
14__M_Right_thumb_2.BMP,14__M_Right_thumb_3.BMP,genuine,28.89
15__F_Left_index_1.BMP,15__F_Left_index_2.BMP,genuine,23.08
15__F_Left_index_1.BMP,15__F_Left_index_3.BMP,genuine,32.43
15__F_Left_index_2.BMP,15__F_Left_index_3.BMP,genuine,40.48
15__F_Left_little_1.BMP,15__F_Left_little_2.BMP,genuine,9.09
15__F_Left_little_1.BMP,15__F_Left_little_3.BMP,genuine,36.36
15__F_Left_little_2.BMP,15__F_Left_little_3.BMP,genuine,10.34
15__F_Left_middle_1.BMP,15__F_Left_middle_2.BMP,genuine,12.5
15__F_Left_middle_1.BMP,15__F_Left_middle_3.BMP,genuine,92.31
15__F_Left_middle_2.BMP,15__F_Left_middle_3.BMP,genuine,15.62
15__F_Left_ring_1.BMP,15__F_Left_ring_2.BMP,genuine,16.67
15__F_Left_ring_1.BMP,15__F_Left_ring_3.BMP,genuine,28.95
15__F_Left_ring_2.BMP,15__F_Left_ring_3.BMP,genuine,28.26
15__F_Left_thumb_1.BMP,15__F_Left_thumb_2.BMP,genuine,83.33
15__F_Left_thumb_1.BMP,15__F_Left_thumb_3.BMP,genuine,100.0
15__F_Left_thumb_2.BMP,15__F_Left_thumb_3.BMP,genuine,79.17
15__F_Right_index_1.BMP,15__F_Right_index_2.BMP,genuine,53.33
15__F_Right_index_1.BMP,15__F_Right_index_3.BMP,genuine,37.5
15__F_Right_index_2.BMP,15__F_Right_index_3.BMP,genuine,11.76
15__F_Right_little_1.BMP,15__F_Right_little_2.BMP,genuine,88.46
15__F_Right_little_1.BMP,15__F_Right_little_3.BMP,genuine,81.48
15__F_Right_little_2.BMP,15__F_Right_little_3.BMP,genuine,88.89
15__F_Right_middle_1.BMP,15__F_Right_middle_2.BMP,genuine,12.24
15__F_Right_middle_1.BMP,15__F_Right_middle_3.BMP,genuine,85.11
15__F_Right_middle_2.BMP,15__F_Right_middle_3.BMP,genuine,10.42
15__F_Right_ring_1.BMP,15__F_Right_ring_2.BMP,genuine,13.51
15__F_Right_ring_1.BMP,15__F_Right_ring_3.BMP,genuine,41.18
15__F_Right_ring_2.BMP,15__F_Right_ring_3.BMP,genuine,20.51
15__F_Right_thumb_1.BMP,15__F_Right_thumb_2.BMP,genuine,33.33
15__F_Right_thumb_1.BMP,15__F_Right_thumb_3.BMP,genuine,33.33
15__F_Right_thumb_2.BMP,15__F_Right_thumb_3.BMP,genuine,25.0
16__M_Left_index_1.BMP,16__M_Left_index_2.BMP,genuine,20.0
16__M_Left_index_1.BMP,16__M_Left_index_3.BMP,genuine,81.82
16__M_Left_index_2.BMP,16__M_Left_index_3.BMP,genuine,20.0
16__M_Left_little_1.BMP,16__M_Left_little_2.BMP,genuine,74.19
16__M_Left_middle_1.BMP,16__M_Left_middle_2.BMP,genuine,17.14
16__M_Left_middle_1.BMP,16__M_Left_middle_3.BMP,genuine,89.74
16__M_Left_middle_2.BMP,16__M_Left_middle_3.BMP,genuine,20.59
16__M_Left_thumb_1.BMP,16__M_Left_thumb_2.BMP,genuine,65.71
16__M_Left_thumb_1.BMP,16__M_Left_thumb_3.BMP,genuine,87.88
16__M_Left_thumb_2.BMP,16__M_Left_thumb_3.BMP,genuine,72.22
16__M_Right_index_1.BMP,16__M_Right_index_2.BMP,genuine,13.33
16__M_Right_index_1.BMP,16__M_Right_index_3.BMP,genuine,90.48
16__M_Right_index_2.BMP,16__M_Right_index_3.BMP,genuine,10.64
16__M_Right_thumb_1.BMP,16__M_Right_thumb_2.BMP,genuine,16.0
16__M_Right_thumb_1.BMP,16__M_Right_thumb_3.BMP,genuine,82.0
16__M_Right_thumb_2.BMP,16__M_Right_thumb_3.BMP,genuine,14.0
17__M_Left_index_1.BMP,17__M_Left_index_2.BMP,genuine,95.0
17__M_Left_index_1.BMP,17__M_Left_index_3.BMP,genuine,32.56
17__M_Left_index_2.BMP,17__M_Left_index_3.BMP,genuine,27.91
17__M_Left_little_1.BMP,17__M_Left_little_2.BMP,genuine,24.0
17__M_Left_little_1.BMP,17__M_Left_little_3.BMP,genuine,18.0
17__M_Left_little_2.BMP,17__M_Left_little_3.BMP,genuine,34.0
17__M_Left_middle_1.BMP,17__M_Left_middle_2.BMP,genuine,36.17
17__M_Left_middle_1.BMP,17__M_Left_middle_3.BMP,genuine,23.4
17__M_Left_middle_2.BMP,17__M_Left_middle_3.BMP,genuine,54.0
17__M_Left_ring_1.BMP,17__M_Left_ring_2.BMP,genuine,36.0
17__M_Left_ring_1.BMP,17__M_Left_ring_3.BMP,genuine,42.0
17__M_Left_ring_2.BMP,17__M_Left_ring_3.BMP,genuine,24.0
17__M_Left_thumb_1.BMP,17__M_Left_thumb_2.BMP,genuine,87.5
17__M_Left_thumb_1.BMP,17__M_Left_thumb_3.BMP,genuine,15.38
17__M_Left_thumb_2.BMP,17__M_Left_thumb_3.BMP,genuine,7.69
17__M_Right_index_1.BMP,17__M_Right_index_2.BMP,genuine,58.0
17__M_Right_index_1.BMP,17__M_Right_index_3.BMP,genuine,74.0
17__M_Right_index_2.BMP,17__M_Right_index_3.BMP,genuine,18.0
17__M_Right_little_1.BMP,17__M_Right_little_2.BMP,genuine,76.0
17__M_Right_little_1.BMP,17__M_Right_little_3.BMP,genuine,92.0
17__M_Right_little_2.BMP,17__M_Right_little_3.BMP,genuine,72.0
17__M_Right_middle_1.BMP,17__M_Right_middle_2.BMP,genuine,84.0
17__M_Right_middle_1.BMP,17__M_Right_middle_3.BMP,genuine,88.0
17__M_Right_middle_2.BMP,17__M_Right_middle_3.BMP,genuine,86.0
17__M_Right_ring_1.BMP,17__M_Right_ring_2.BMP,genuine,88.0
17__M_Right_ring_1.BMP,17__M_Right_ring_3.BMP,genuine,74.0
17__M_Right_ring_2.BMP,17__M_Right_ring_3.BMP,genuine,32.0
17__M_Right_thumb_1.BMP,17__M_Right_thumb_2.BMP,genuine,93.55
17__M_Right_thumb_1.BMP,17__M_Right_thumb_3.BMP,genuine,100.0
17__M_Right_thumb_2.BMP,17__M_Right_thumb_3.BMP,genuine,87.1
18__M_Left_index_1.BMP,18__M_Left_index_2.BMP,genuine,27.78
18__M_Left_index_1.BMP,18__M_Left_index_3.BMP,genuine,44.44
18__M_Left_index_2.BMP,18__M_Left_index_3.BMP,genuine,60.0
18__M_Left_little_1.BMP,18__M_Left_little_2.BMP,genuine,72.73
18__M_Left_little_1.BMP,18__M_Left_little_3.BMP,genuine,19.23
18__M_Left_little_2.BMP,18__M_Left_little_3.BMP,genuine,11.54
18__M_Left_middle_1.BMP,18__M_Left_middle_2.BMP,genuine,21.43
18__M_Left_middle_1.BMP,18__M_Left_middle_3.BMP,genuine,100.0
18__M_Left_middle_2.BMP,18__M_Left_middle_3.BMP,genuine,28.57
18__M_Left_ring_1.BMP,18__M_Left_ring_2.BMP,genuine,10.0
18__M_Left_ring_1.BMP,18__M_Left_ring_3.BMP,genuine,100.0
18__M_Left_ring_2.BMP,18__M_Left_ring_3.BMP,genuine,10.0
18__M_Left_thumb_1.BMP,18__M_Left_thumb_2.BMP,genuine,67.86
18__M_Left_thumb_1.BMP,18__M_Left_thumb_3.BMP,genuine,93.1
18__M_Left_thumb_2.BMP,18__M_Left_thumb_3.BMP,genuine,51.72
18__M_Right_index_1.BMP,18__M_Right_index_2.BMP,genuine,24.24
18__M_Right_index_1.BMP,18__M_Right_index_3.BMP,genuine,32.32
18__M_Right_index_2.BMP,18__M_Right_index_3.BMP,genuine,60.0
18__M_Right_little_1.BMP,18__M_Right_little_2.BMP,genuine,100.0
18__M_Right_little_1.BMP,18__M_Right_little_3.BMP,genuine,100.0
18__M_Right_little_2.BMP,18__M_Right_little_3.BMP,genuine,100.0
18__M_Right_middle_1.BMP,18__M_Right_middle_2.BMP,genuine,63.89
18__M_Right_middle_1.BMP,18__M_Right_middle_3.BMP,genuine,87.8
18__M_Right_middle_2.BMP,18__M_Right_middle_3.BMP,genuine,41.03
18__M_Right_ring_1.BMP,18__M_Right_ring_2.BMP,genuine,20.0
18__M_Right_ring_1.BMP,18__M_Right_ring_3.BMP,genuine,100.0
18__M_Right_ring_2.BMP,18__M_Right_ring_3.BMP,genuine,20.0
18__M_Right_thumb_1.BMP,18__M_Right_thumb_2.BMP,genuine,79.31
18__M_Right_thumb_1.BMP,18__M_Right_thumb_3.BMP,genuine,77.42
18__M_Right_thumb_2.BMP,18__M_Right_thumb_3.BMP,genuine,68.97
19__M_Left_index_1.BMP,19__M_Left_index_2.BMP,genuine,0.0
19__M_Left_index_1.BMP,19__M_Left_index_3.BMP,genuine,100.0
19__M_Left_index_2.BMP,19__M_Left_index_3.BMP,genuine,0.0
19__M_Left_little_1.BMP,19__M_Left_little_2.BMP,genuine,100.0
19__M_Left_little_1.BMP,19__M_Left_little_3.BMP,genuine,28.57
19__M_Left_little_2.BMP,19__M_Left_little_3.BMP,genuine,28.57
19__M_Left_middle_1.BMP,19__M_Left_middle_2.BMP,genuine,23.53
19__M_Left_middle_1.BMP,19__M_Left_middle_3.BMP,genuine,100.0
19__M_Left_middle_2.BMP,19__M_Left_middle_3.BMP,genuine,23.53
19__M_Left_ring_1.BMP,19__M_Left_ring_2.BMP,genuine,100.0
19__M_Left_ring_1.BMP,19__M_Left_ring_3.BMP,genuine,0.0
19__M_Left_ring_2.BMP,19__M_Left_ring_3.BMP,genuine,0.0
19__M_Left_thumb_1.BMP,19__M_Left_thumb_2.BMP,genuine,0.0
19__M_Left_thumb_1.BMP,19__M_Left_thumb_3.BMP,genuine,0.0
19__M_Left_thumb_2.BMP,19__M_Left_thumb_3.BMP,genuine,0.0
19__M_Right_index_1.BMP,19__M_Right_index_2.BMP,genuine,37.04
19__M_Right_index_1.BMP,19__M_Right_index_3.BMP,genuine,86.67
19__M_Right_index_2.BMP,19__M_Right_index_3.BMP,genuine,37.04
19__M_Right_little_1.BMP,19__M_Right_little_2.BMP,genuine,96.67
19__M_Right_little_1.BMP,19__M_Right_little_3.BMP,genuine,100.0
19__M_Right_little_2.BMP,19__M_Right_little_3.BMP,genuine,96.67
19__M_Right_middle_1.BMP,19__M_Right_middle_2.BMP,genuine,83.33
19__M_Right_middle_1.BMP,19__M_Right_middle_3.BMP,genuine,12.5
19__M_Right_middle_2.BMP,19__M_Right_middle_3.BMP,genuine,12.5
19__M_Right_ring_1.BMP,19__M_Right_ring_2.BMP,genuine,26.67
19__M_Right_ring_1.BMP,19__M_Right_ring_3.BMP,genuine,100.0
19__M_Right_ring_2.BMP,19__M_Right_ring_3.BMP,genuine,33.33
19__M_Right_thumb_1.BMP,19__M_Right_thumb_2.BMP,genuine,20.0
19__M_Right_thumb_1.BMP,19__M_Right_thumb_3.BMP,genuine,36.84
19__M_Right_thumb_2.BMP,19__M_Right_thumb_3.BMP,genuine,61.9
1__M_Left_index_1.BMP,1__M_Left_index_2.BMP,genuine,80.49
1__M_Left_index_1.BMP,1__M_Left_index_3.BMP,genuine,92.5
1__M_Left_index_2.BMP,1__M_Left_index_3.BMP,genuine,80.49
1__M_Left_little_1.BMP,1__M_Left_little_2.BMP,genuine,12.37
1__M_Left_little_1.BMP,1__M_Left_little_3.BMP,genuine,43.3
1__M_Left_little_2.BMP,1__M_Left_little_3.BMP,genuine,20.0
1__M_Left_middle_1.BMP,1__M_Left_middle_2.BMP,genuine,14.81
1__M_Left_middle_1.BMP,1__M_Left_middle_3.BMP,genuine,76.19
1__M_Left_middle_2.BMP,1__M_Left_middle_3.BMP,genuine,21.43
1__M_Left_ring_1.BMP,1__M_Left_ring_2.BMP,genuine,41.86
1__M_Left_ring_1.BMP,1__M_Left_ring_3.BMP,genuine,85.37
1__M_Left_ring_2.BMP,1__M_Left_ring_3.BMP,genuine,78.26
1__M_Left_thumb_1.BMP,1__M_Left_thumb_2.BMP,genuine,28.57
1__M_Left_thumb_1.BMP,1__M_Left_thumb_3.BMP,genuine,11.11
1__M_Left_thumb_2.BMP,1__M_Left_thumb_3.BMP,genuine,10.0
1__M_Right_index_1.BMP,1__M_Right_index_2.BMP,genuine,84.62
1__M_Right_index_1.BMP,1__M_Right_index_3.BMP,genuine,97.22
1__M_Right_index_2.BMP,1__M_Right_index_3.BMP,genuine,31.58
1__M_Right_little_1.BMP,1__M_Right_little_2.BMP,genuine,20.0
1__M_Right_little_1.BMP,1__M_Right_little_3.BMP,genuine,86.0
1__M_Right_little_2.BMP,1__M_Right_little_3.BMP,genuine,16.0
1__M_Right_middle_1.BMP,1__M_Right_middle_2.BMP,genuine,64.0
1__M_Right_middle_1.BMP,1__M_Right_middle_3.BMP,genuine,86.0
1__M_Right_middle_2.BMP,1__M_Right_middle_3.BMP,genuine,78.0
1__M_Right_ring_1.BMP,1__M_Right_ring_2.BMP,genuine,66.67
1__M_Right_ring_1.BMP,1__M_Right_ring_3.BMP,genuine,95.12
1__M_Right_ring_2.BMP,1__M_Right_ring_3.BMP,genuine,25.0
1__M_Right_thumb_1.BMP,1__M_Right_thumb_2.BMP,genuine,9.09
1__M_Right_thumb_1.BMP,1__M_Right_thumb_3.BMP,genuine,100.0
1__M_Right_thumb_2.BMP,1__M_Right_thumb_3.BMP,genuine,9.09
20__M_Left_index_1.BMP,20__M_Left_index_2.BMP,genuine,22.22
20__M_Left_index_1.BMP,20__M_Left_index_3.BMP,genuine,25.0
20__M_Left_index_2.BMP,20__M_Left_index_3.BMP,genuine,45.45
20__M_Left_little_1.BMP,20__M_Left_little_2.BMP,genuine,29.41
20__M_Left_little_1.BMP,20__M_Left_little_3.BMP,genuine,31.25
20__M_Left_little_2.BMP,20__M_Left_little_3.BMP,genuine,26.32
20__M_Left_middle_1.BMP,20__M_Left_middle_2.BMP,genuine,100.0
20__M_Left_middle_1.BMP,20__M_Left_middle_3.BMP,genuine,33.33
20__M_Left_middle_2.BMP,20__M_Left_middle_3.BMP,genuine,33.33
20__M_Left_ring_1.BMP,20__M_Left_ring_2.BMP,genuine,100.0
