a,b,label,score
100__M_Right_thumb_1.BMP,100__M_Right_thumb_3.BMP,genuine,88.0
100__M_Right_thumb_2.BMP,100__M_Right_thumb_3.BMP,genuine,40.0
10__M_Left_index_1.BMP,10__M_Left_index_2.BMP,genuine,8.0
10__M_Left_index_1.BMP,10__M_Left_index_3.BMP,genuine,40.0
10__M_Left_index_2.BMP,10__M_Left_index_3.BMP,genuine,12.0
10__M_Left_little_1.BMP,10__M_Left_little_2.BMP,genuine,64.0
10__M_Left_little_1.BMP,10__M_Left_little_3.BMP,genuine,44.0
10__M_Left_little_2.BMP,10__M_Left_little_3.BMP,genuine,56.0
10__M_Left_middle_1.BMP,10__M_Left_middle_2.BMP,genuine,26.0
10__M_Left_middle_1.BMP,10__M_Left_middle_3.BMP,genuine,58.0
10__M_Left_middle_2.BMP,10__M_Left_middle_3.BMP,genuine,68.0
10__M_Left_ring_1.BMP,10__M_Left_ring_2.BMP,genuine,20.0
10__M_Left_ring_1.BMP,10__M_Left_ring_3.BMP,genuine,66.0
10__M_Left_ring_2.BMP,10__M_Left_ring_3.BMP,genuine,14.0
10__M_Left_thumb_1.BMP,10__M_Left_thumb_2.BMP,genuine,36.0
10__M_Left_thumb_1.BMP,10__M_Left_thumb_3.BMP,genuine,72.0
10__M_Left_thumb_2.BMP,10__M_Left_thumb_3.BMP,genuine,44.0
10__M_Right_index_1.BMP,10__M_Right_index_2.BMP,genuine,12.0
10__M_Right_index_1.BMP,10__M_Right_index_3.BMP,genuine,16.0
10__M_Right_index_2.BMP,10__M_Right_index_3.BMP,genuine,58.0
10__M_Right_little_1.BMP,10__M_Right_little_2.BMP,genuine,10.0
10__M_Right_little_1.BMP,10__M_Right_little_3.BMP,genuine,44.0
10__M_Right_little_2.BMP,10__M_Right_little_3.BMP,genuine,36.0
10__M_Right_middle_1.BMP,10__M_Right_middle_2.BMP,genuine,22.0
10__M_Right_middle_1.BMP,10__M_Right_middle_3.BMP,genuine,64.0
10__M_Right_middle_2.BMP,10__M_Right_middle_3.BMP,genuine,56.0
10__M_Right_ring_1.BMP,10__M_Right_ring_2.BMP,genuine,24.0
10__M_Right_ring_1.BMP,10__M_Right_ring_3.BMP,genuine,18.0
10__M_Right_ring_2.BMP,10__M_Right_ring_3.BMP,genuine,16.0
10__M_Right_thumb_1.BMP,10__M_Right_thumb_2.BMP,genuine,26.0
10__M_Right_thumb_1.BMP,10__M_Right_thumb_3.BMP,genuine,22.0
10__M_Right_thumb_2.BMP,10__M_Right_thumb_3.BMP,genuine,24.0
11__M_Left_index_1.BMP,11__M_Left_index_2.BMP,genuine,20.0
11__M_Left_index_1.BMP,11__M_Left_index_3.BMP,genuine,56.0
11__M_Left_index_2.BMP,11__M_Left_index_3.BMP,genuine,22.0
11__M_Left_little_1.BMP,11__M_Left_little_2.BMP,genuine,18.0
11__M_Left_little_1.BMP,11__M_Left_little_3.BMP,genuine,18.0
11__M_Left_little_2.BMP,11__M_Left_little_3.BMP,genuine,14.0
11__M_Left_middle_1.BMP,11__M_Left_middle_2.BMP,genuine,54.0
11__M_Left_middle_1.BMP,11__M_Left_middle_3.BMP,genuine,70.0
11__M_Left_middle_2.BMP,11__M_Left_middle_3.BMP,genuine,42.0
11__M_Left_ring_1.BMP,11__M_Left_ring_2.BMP,genuine,38.0
11__M_Left_ring_1.BMP,11__M_Left_ring_3.BMP,genuine,10.0
11__M_Left_ring_2.BMP,11__M_Left_ring_3.BMP,genuine,20.0
11__M_Left_thumb_1.BMP,11__M_Left_thumb_2.BMP,genuine,42.0
11__M_Left_thumb_1.BMP,11__M_Left_thumb_3.BMP,genuine,20.0
11__M_Left_thumb_2.BMP,11__M_Left_thumb_3.BMP,genuine,20.0
11__M_Right_index_1.BMP,11__M_Right_index_2.BMP,genuine,54.0
11__M_Right_index_1.BMP,11__M_Right_index_3.BMP,genuine,58.0
11__M_Right_index_2.BMP,11__M_Right_index_3.BMP,genuine,74.0
11__M_Right_little_1.BMP,11__M_Right_little_2.BMP,genuine,48.0
11__M_Right_little_1.BMP,11__M_Right_little_3.BMP,genuine,74.0
11__M_Right_little_2.BMP,11__M_Right_little_3.BMP,genuine,18.0
11__M_Right_middle_1.BMP,11__M_Right_middle_2.BMP,genuine,32.0
11__M_Right_middle_1.BMP,11__M_Right_middle_3.BMP,genuine,20.0
11__M_Right_middle_2.BMP,11__M_Right_middle_3.BMP,genuine,12.0
11__M_Right_ring_1.BMP,11__M_Right_ring_2.BMP,genuine,48.0
11__M_Right_ring_1.BMP,11__M_Right_ring_3.BMP,genuine,44.0
11__M_Right_ring_2.BMP,11__M_Right_ring_3.BMP,genuine,52.0
11__M_Right_thumb_1.BMP,11__M_Right_thumb_2.BMP,genuine,12.0
11__M_Right_thumb_1.BMP,11__M_Right_thumb_3.BMP,genuine,68.0
11__M_Right_thumb_2.BMP,11__M_Right_thumb_3.BMP,genuine,8.0
12__M_Left_index_1.BMP,12__M_Left_index_2.BMP,genuine,10.0
12__M_Left_index_1.BMP,12__M_Left_index_3.BMP,genuine,90.0
12__M_Left_index_2.BMP,12__M_Left_index_3.BMP,genuine,12.0
12__M_Left_little_1.BMP,12__M_Left_little_2.BMP,genuine,14.0
12__M_Left_little_1.BMP,12__M_Left_little_3.BMP,genuine,48.0
12__M_Left_little_2.BMP,12__M_Left_little_3.BMP,genuine,14.0
12__M_Left_middle_1.BMP,12__M_Left_middle_2.BMP,genuine,14.0
12__M_Left_middle_1.BMP,12__M_Left_middle_3.BMP,genuine,38.0
12__M_Left_middle_2.BMP,12__M_Left_middle_3.BMP,genuine,10.0
12__M_Left_ring_1.BMP,12__M_Left_ring_2.BMP,genuine,10.0
12__M_Left_ring_1.BMP,12__M_Left_ring_3.BMP,genuine,72.0
12__M_Left_ring_2.BMP,12__M_Left_ring_3.BMP,genuine,22.0
12__M_Left_thumb_1.BMP,12__M_Left_thumb_2.BMP,genuine,30.0
12__M_Left_thumb_1.BMP,12__M_Left_thumb_3.BMP,genuine,78.0
12__M_Left_thumb_2.BMP,12__M_Left_thumb_3.BMP,genuine,36.0
12__M_Right_index_1.BMP,12__M_Right_index_2.BMP,genuine,10.0
12__M_Right_index_1.BMP,12__M_Right_index_3.BMP,genuine,76.0
12__M_Right_index_2.BMP,12__M_Right_index_3.BMP,genuine,20.0
12__M_Right_little_1.BMP,12__M_Right_little_2.BMP,genuine,34.0
12__M_Right_little_1.BMP,12__M_Right_little_3.BMP,genuine,24.0
12__M_Right_little_2.BMP,12__M_Right_little_3.BMP,genuine,14.0
12__M_Right_middle_1.BMP,12__M_Right_middle_2.BMP,genuine,12.0
12__M_Right_middle_1.BMP,12__M_Right_middle_3.BMP,genuine,38.0
12__M_Right_middle_2.BMP,12__M_Right_middle_3.BMP,genuine,14.0
12__M_Right_ring_1.BMP,12__M_Right_ring_2.BMP,genuine,22.0
12__M_Right_ring_1.BMP,12__M_Right_ring_3.BMP,genuine,16.0
12__M_Right_ring_2.BMP,12__M_Right_ring_3.BMP,genuine,20.0
12__M_Right_thumb_1.BMP,12__M_Right_thumb_2.BMP,genuine,10.0
12__M_Right_thumb_1.BMP,12__M_Right_thumb_3.BMP,genuine,64.0
12__M_Right_thumb_2.BMP,12__M_Right_thumb_3.BMP,genuine,14.0
13__F_Left_index_1.BMP,13__F_Left_index_2.BMP,genuine,10.0
13__F_Left_index_1.BMP,13__F_Left_index_3.BMP,genuine,20.0
13__F_Left_index_2.BMP,13__F_Left_index_3.BMP,genuine,12.0
13__F_Left_little_1.BMP,13__F_Left_little_2.BMP,genuine,14.0
13__F_Left_little_1.BMP,13__F_Left_little_3.BMP,genuine,22.0
13__F_Left_little_2.BMP,13__F_Left_little_3.BMP,genuine,12.0
13__F_Left_middle_1.BMP,13__F_Left_middle_2.BMP,genuine,54.0
13__F_Left_middle_1.BMP,13__F_Left_middle_3.BMP,genuine,22.0
13__F_Left_middle_2.BMP,13__F_Left_middle_3.BMP,genuine,14.0
13__F_Left_ring_1.BMP,13__F_Left_ring_2.BMP,genuine,28.0
13__F_Left_ring_1.BMP,13__F_Left_ring_3.BMP,genuine,68.0
13__F_Left_ring_2.BMP,13__F_Left_ring_3.BMP,genuine,22.0
13__F_Left_thumb_1.BMP,13__F_Left_thumb_2.BMP,genuine,46.0
13__F_Left_thumb_1.BMP,13__F_Left_thumb_3.BMP,genuine,46.0
13__F_Left_thumb_2.BMP,13__F_Left_thumb_3.BMP,genuine,54.0
13__F_Right_index_1.BMP,13__F_Right_index_2.BMP,genuine,18.0
13__F_Right_index_1.BMP,13__F_Right_index_3.BMP,genuine,70.0
13__F_Right_index_2.BMP,13__F_Right_index_3.BMP,genuine,12.0
13__F_Right_little_1.BMP,13__F_Right_little_2.BMP,genuine,58.0
13__F_Right_little_1.BMP,13__F_Right_little_3.BMP,genuine,20.0
13__F_Right_little_2.BMP,13__F_Right_little_3.BMP,genuine,20.0
13__F_Right_middle_1.BMP,13__F_Right_middle_2.BMP,genuine,34.0
13__F_Right_middle_1.BMP,13__F_Right_middle_3.BMP,genuine,24.0
13__F_Right_middle_2.BMP,13__F_Right_middle_3.BMP,genuine,46.0
13__F_Right_ring_1.BMP,13__F_Right_ring_2.BMP,genuine,10.0
13__F_Right_ring_1.BMP,13__F_Right_ring_3.BMP,genuine,46.0
13__F_Right_ring_2.BMP,13__F_Right_ring_3.BMP,genuine,18.0
13__F_Right_thumb_1.BMP,13__F_Right_thumb_2.BMP,genuine,22.0
13__F_Right_thumb_1.BMP,13__F_Right_thumb_3.BMP,genuine,32.0
13__F_Right_thumb_2.BMP,13__F_Right_thumb_3.BMP,genuine,22.0
14__M_Left_index_1.BMP,14__M_Left_index_2.BMP,genuine,16.0
14__M_Left_index_1.BMP,14__M_Left_index_3.BMP,genuine,70.0
14__M_Left_index_2.BMP,14__M_Left_index_3.BMP,genuine,18.0
14__M_Left_little_1.BMP,14__M_Left_little_2.BMP,genuine,24.0
14__M_Left_little_1.BMP,14__M_Left_little_3.BMP,genuine,88.0
14__M_Left_little_2.BMP,14__M_Left_little_3.BMP,genuine,14.0
14__M_Left_middle_1.BMP,14__M_Left_middle_2.BMP,genuine,52.0
14__M_Left_middle_1.BMP,14__M_Left_middle_3.BMP,genuine,60.0
14__M_Left_middle_2.BMP,14__M_Left_middle_3.BMP,genuine,58.0
14__M_Left_ring_1.BMP,14__M_Left_ring_2.BMP,genuine,18.0
14__M_Left_ring_1.BMP,14__M_Left_ring_3.BMP,genuine,76.0
14__M_Left_ring_2.BMP,14__M_Left_ring_3.BMP,genuine,16.0
14__M_Left_thumb_1.BMP,14__M_Left_thumb_2.BMP,genuine,44.0
14__M_Left_thumb_1.BMP,14__M_Left_thumb_3.BMP,genuine,24.0
14__M_Left_thumb_2.BMP,14__M_Left_thumb_3.BMP,genuine,20.0
14__M_Right_index_1.BMP,14__M_Right_index_2.BMP,genuine,22.0
14__M_Right_index_1.BMP,14__M_Right_index_3.BMP,genuine,46.0
14__M_Right_index_2.BMP,14__M_Right_index_3.BMP,genuine,34.0
14__M_Right_little_1.BMP,14__M_Right_little_2.BMP,genuine,26.0
14__M_Right_little_1.BMP,14__M_Right_little_3.BMP,genuine,20.0
14__M_Right_little_2.BMP,14__M_Right_little_3.BMP,genuine,10.0
14__M_Right_middle_1.BMP,14__M_Right_middle_2.BMP,genuine,26.0
14__M_Right_middle_1.BMP,14__M_Right_middle_3.BMP,genuine,86.0
14__M_Right_middle_2.BMP,14__M_Right_middle_3.BMP,genuine,32.0
14__M_Right_ring_1.BMP,14__M_Right_ring_2.BMP,genuine,16.0
14__M_Right_ring_1.BMP,14__M_Right_ring_3.BMP,genuine,18.0
14__M_Right_ring_2.BMP,14__M_Right_ring_3.BMP,genuine,20.0
14__M_Right_thumb_1.BMP,14__M_Right_thumb_2.BMP,genuine,18.0
14__M_Right_thumb_1.BMP,14__M_Right_thumb_3.BMP,genuine,48.0
14__M_Right_thumb_2.BMP,14__M_Right_thumb_3.BMP,genuine,28.0
15__F_Left_index_1.BMP,15__F_Left_index_2.BMP,genuine,58.0
15__F_Left_index_1.BMP,15__F_Left_index_3.BMP,genuine,14.0
15__F_Left_index_2.BMP,15__F_Left_index_3.BMP,genuine,10.0
15__F_Left_little_1.BMP,15__F_Left_little_2.BMP,genuine,16.0
15__F_Left_little_1.BMP,15__F_Left_little_3.BMP,genuine,48.0
15__F_Left_little_2.BMP,15__F_Left_little_3.BMP,genuine,18.0
15__F_Left_middle_1.BMP,15__F_Left_middle_2.BMP,genuine,10.0
15__F_Left_middle_1.BMP,15__F_Left_middle_3.BMP,genuine,70.0
15__F_Left_middle_2.BMP,15__F_Left_middle_3.BMP,genuine,14.0
15__F_Left_ring_1.BMP,15__F_Left_ring_2.BMP,genuine,52.0
15__F_Left_ring_1.BMP,15__F_Left_ring_3.BMP,genuine,32.0
15__F_Left_ring_2.BMP,15__F_Left_ring_3.BMP,genuine,18.0
15__F_Left_thumb_1.BMP,15__F_Left_thumb_2.BMP,genuine,8.0
15__F_Left_thumb_1.BMP,15__F_Left_thumb_3.BMP,genuine,88.0
15__F_Left_thumb_2.BMP,15__F_Left_thumb_3.BMP,genuine,12.0
15__F_Right_index_1.BMP,15__F_Right_index_2.BMP,genuine,32.0
15__F_Right_index_1.BMP,15__F_Right_index_3.BMP,genuine,64.0
15__F_Right_index_2.BMP,15__F_Right_index_3.BMP,genuine,30.0
15__F_Right_little_1.BMP,15__F_Right_little_2.BMP,genuine,52.0
15__F_Right_little_1.BMP,15__F_Right_little_3.BMP,genuine,50.0
15__F_Right_little_2.BMP,15__F_Right_little_3.BMP,genuine,40.0
15__F_Right_middle_1.BMP,15__F_Right_middle_2.BMP,genuine,8.0
15__F_Right_middle_1.BMP,15__F_Right_middle_3.BMP,genuine,20.0
15__F_Right_middle_2.BMP,15__F_Right_middle_3.BMP,genuine,12.0
15__F_Right_ring_1.BMP,15__F_Right_ring_2.BMP,genuine,8.0
15__F_Right_ring_1.BMP,15__F_Right_ring_3.BMP,genuine,26.0
15__F_Right_ring_2.BMP,15__F_Right_ring_3.BMP,genuine,20.0
15__F_Right_thumb_1.BMP,15__F_Right_thumb_2.BMP,genuine,38.0
15__F_Right_thumb_1.BMP,15__F_Right_thumb_3.BMP,genuine,18.0
15__F_Right_thumb_2.BMP,15__F_Right_thumb_3.BMP,genuine,14.0
16__M_Left_index_1.BMP,16__M_Left_index_2.BMP,genuine,30.0
16__M_Left_index_1.BMP,16__M_Left_index_3.BMP,genuine,76.0
16__M_Left_index_2.BMP,16__M_Left_index_3.BMP,genuine,30.0
16__M_Left_little_1.BMP,16__M_Left_little_2.BMP,genuine,22.0
16__M_Left_middle_1.BMP,16__M_Left_middle_2.BMP,genuine,14.0
16__M_Left_middle_1.BMP,16__M_Left_middle_3.BMP,genuine,64.0
16__M_Left_middle_2.BMP,16__M_Left_middle_3.BMP,genuine,16.0
16__M_Left_thumb_1.BMP,16__M_Left_thumb_2.BMP,genuine,32.0
16__M_Left_thumb_1.BMP,16__M_Left_thumb_3.BMP,genuine,80.0
16__M_Left_thumb_2.BMP,16__M_Left_thumb_3.BMP,genuine,38.0
16__M_Right_index_1.BMP,16__M_Right_index_2.BMP,genuine,14.0
16__M_Right_index_1.BMP,16__M_Right_index_3.BMP,genuine,40.0
16__M_Right_index_2.BMP,16__M_Right_index_3.BMP,genuine,28.0
16__M_Right_thumb_1.BMP,16__M_Right_thumb_2.BMP,genuine,22.0
16__M_Right_thumb_1.BMP,16__M_Right_thumb_3.BMP,genuine,48.0
16__M_Right_thumb_2.BMP,16__M_Right_thumb_3.BMP,genuine,62.0
17__M_Left_index_1.BMP,17__M_Left_index_2.BMP,genuine,10.0
17__M_Left_index_1.BMP,17__M_Left_index_3.BMP,genuine,26.0
17__M_Left_index_2.BMP,17__M_Left_index_3.BMP,genuine,14.0
17__M_Left_little_1.BMP,17__M_Left_little_2.BMP,genuine,12.0
17__M_Left_little_1.BMP,17__M_Left_little_3.BMP,genuine,66.0
17__M_Left_little_2.BMP,17__M_Left_little_3.BMP,genuine,14.0
17__M_Left_middle_1.BMP,17__M_Left_middle_2.BMP,genuine,54.0
17__M_Left_middle_1.BMP,17__M_Left_middle_3.BMP,genuine,38.0
17__M_Left_middle_2.BMP,17__M_Left_middle_3.BMP,genuine,72.0
17__M_Left_ring_1.BMP,17__M_Left_ring_2.BMP,genuine,48.0
17__M_Left_ring_1.BMP,17__M_Left_ring_3.BMP,genuine,50.0
17__M_Left_ring_2.BMP,17__M_Left_ring_3.BMP,genuine,86.0
17__M_Left_thumb_1.BMP,17__M_Left_thumb_2.BMP,genuine,22.0
17__M_Left_thumb_1.BMP,17__M_Left_thumb_3.BMP,genuine,18.0
17__M_Left_thumb_2.BMP,17__M_Left_thumb_3.BMP,genuine,12.0
17__M_Right_index_1.BMP,17__M_Right_index_2.BMP,genuine,20.0
17__M_Right_index_1.BMP,17__M_Right_index_3.BMP,genuine,78.0
17__M_Right_index_2.BMP,17__M_Right_index_3.BMP,genuine,18.0
17__M_Right_little_1.BMP,17__M_Right_little_2.BMP,genuine,52.0
17__M_Right_little_1.BMP,17__M_Right_little_3.BMP,genuine,74.0
17__M_Right_little_2.BMP,17__M_Right_little_3.BMP,genuine,56.0
17__M_Right_middle_1.BMP,17__M_Right_middle_2.BMP,genuine,66.0
17__M_Right_middle_1.BMP,17__M_Right_middle_3.BMP,genuine,26.0
17__M_Right_middle_2.BMP,17__M_Right_middle_3.BMP,genuine,14.0
17__M_Right_ring_1.BMP,17__M_Right_ring_2.BMP,genuine,26.0
17__M_Right_ring_1.BMP,17__M_Right_ring_3.BMP,genuine,16.0
17__M_Right_ring_2.BMP,17__M_Right_ring_3.BMP,genuine,22.0
17__M_Right_thumb_1.BMP,17__M_Right_thumb_2.BMP,genuine,26.0
17__M_Right_thumb_1.BMP,17__M_Right_thumb_3.BMP,genuine,18.0
17__M_Right_thumb_2.BMP,17__M_Right_thumb_3.BMP,genuine,12.0
18__M_Left_index_1.BMP,18__M_Left_index_2.BMP,genuine,20.0
18__M_Left_index_1.BMP,18__M_Left_index_3.BMP,genuine,20.0
18__M_Left_index_2.BMP,18__M_Left_index_3.BMP,genuine,56.0
18__M_Left_little_1.BMP,18__M_Left_little_2.BMP,genuine,28.0
18__M_Left_little_1.BMP,18__M_Left_little_3.BMP,genuine,68.0
18__M_Left_little_2.BMP,18__M_Left_little_3.BMP,genuine,26.0
18__M_Left_middle_1.BMP,18__M_Left_middle_2.BMP,genuine,14.0
18__M_Left_middle_1.BMP,18__M_Left_middle_3.BMP,genuine,38.0
18__M_Left_middle_2.BMP,18__M_Left_middle_3.BMP,genuine,56.0
18__M_Left_ring_1.BMP,18__M_Left_ring_2.BMP,genuine,22.0
18__M_Left_ring_1.BMP,18__M_Left_ring_3.BMP,genuine,74.0
18__M_Left_ring_2.BMP,18__M_Left_ring_3.BMP,genuine,16.0
18__M_Left_thumb_1.BMP,18__M_Left_thumb_2.BMP,genuine,10.0
18__M_Left_thumb_1.BMP,18__M_Left_thumb_3.BMP,genuine,54.0
18__M_Left_thumb_2.BMP,18__M_Left_thumb_3.BMP,genuine,10.0
18__M_Right_index_1.BMP,18__M_Right_index_2.BMP,genuine,12.0
18__M_Right_index_1.BMP,18__M_Right_index_3.BMP,genuine,26.0
18__M_Right_index_2.BMP,18__M_Right_index_3.BMP,genuine,16.0
18__M_Right_little_1.BMP,18__M_Right_little_2.BMP,genuine,42.0
18__M_Right_little_1.BMP,18__M_Right_little_3.BMP,genuine,52.0
18__M_Right_little_2.BMP,18__M_Right_little_3.BMP,genuine,62.0
18__M_Right_middle_1.BMP,18__M_Right_middle_2.BMP,genuine,26.0
18__M_Right_middle_1.BMP,18__M_Right_middle_3.BMP,genuine,44.0
18__M_Right_middle_2.BMP,18__M_Right_middle_3.BMP,genuine,20.0
18__M_Right_ring_1.BMP,18__M_Right_ring_2.BMP,genuine,60.0
18__M_Right_ring_1.BMP,18__M_Right_ring_3.BMP,genuine,84.0
18__M_Right_ring_2.BMP,18__M_Right_ring_3.BMP,genuine,58.0
18__M_Right_thumb_1.BMP,18__M_Right_thumb_2.BMP,genuine,56.0
18__M_Right_thumb_1.BMP,18__M_Right_thumb_3.BMP,genuine,76.0
18__M_Right_thumb_2.BMP,18__M_Right_thumb_3.BMP,genuine,40.0
19__M_Left_index_1.BMP,19__M_Left_index_2.BMP,genuine,72.0
19__M_Left_index_1.BMP,19__M_Left_index_3.BMP,genuine,16.0
19__M_Left_index_2.BMP,19__M_Left_index_3.BMP,genuine,24.0
19__M_Left_little_1.BMP,19__M_Left_little_2.BMP,genuine,44.0
19__M_Left_little_1.BMP,19__M_Left_little_3.BMP,genuine,18.0
19__M_Left_little_2.BMP,19__M_Left_little_3.BMP,genuine,18.0
19__M_Left_middle_1.BMP,19__M_Left_middle_2.BMP,genuine,32.0
19__M_Left_middle_1.BMP,19__M_Left_middle_3.BMP,genuine,72.0
19__M_Left_middle_2.BMP,19__M_Left_middle_3.BMP,genuine,38.0
19__M_Left_ring_1.BMP,19__M_Left_ring_2.BMP,genuine,30.0
19__M_Left_ring_1.BMP,19__M_Left_ring_3.BMP,genuine,18.0
19__M_Left_ring_2.BMP,19__M_Left_ring_3.BMP,genuine,12.0
19__M_Left_thumb_1.BMP,19__M_Left_thumb_2.BMP,genuine,22.0
19__M_Left_thumb_1.BMP,19__M_Left_thumb_3.BMP,genuine,24.0
19__M_Left_thumb_2.BMP,19__M_Left_thumb_3.BMP,genuine,74.0
19__M_Right_index_1.BMP,19__M_Right_index_2.BMP,genuine,22.0
19__M_Right_index_1.BMP,19__M_Right_index_3.BMP,genuine,16.0
19__M_Right_index_2.BMP,19__M_Right_index_3.BMP,genuine,32.0
19__M_Right_little_1.BMP,19__M_Right_little_2.BMP,genuine,42.0
19__M_Right_little_1.BMP,19__M_Right_little_3.BMP,genuine,22.0
19__M_Right_little_2.BMP,19__M_Right_little_3.BMP,genuine,28.0
19__M_Right_middle_1.BMP,19__M_Right_middle_2.BMP,genuine,16.0
19__M_Right_middle_1.BMP,19__M_Right_middle_3.BMP,genuine,14.0
19__M_Right_middle_2.BMP,19__M_Right_middle_3.BMP,genuine,12.0
19__M_Right_ring_1.BMP,19__M_Right_ring_2.BMP,genuine,20.0
19__M_Right_ring_1.BMP,19__M_Right_ring_3.BMP,genuine,80.0
19__M_Right_ring_2.BMP,19__M_Right_ring_3.BMP,genuine,18.0
19__M_Right_thumb_1.BMP,19__M_Right_thumb_2.BMP,genuine,24.0
19__M_Right_thumb_1.BMP,19__M_Right_thumb_3.BMP,genuine,26.0
19__M_Right_thumb_2.BMP,19__M_Right_thumb_3.BMP,genuine,16.0
1__M_Left_index_1.BMP,1__M_Left_index_2.BMP,genuine,26.0
1__M_Left_index_1.BMP,1__M_Left_index_3.BMP,genuine,62.0
1__M_Left_index_2.BMP,1__M_Left_index_3.BMP,genuine,18.0
1__M_Left_little_1.BMP,1__M_Left_little_2.BMP,genuine,8.0
1__M_Left_little_1.BMP,1__M_Left_little_3.BMP,genuine,36.0
1__M_Left_little_2.BMP,1__M_Left_little_3.BMP,genuine,12.0
1__M_Left_middle_1.BMP,1__M_Left_middle_2.BMP,genuine,16.0
1__M_Left_middle_1.BMP,1__M_Left_middle_3.BMP,genuine,16.0
1__M_Left_middle_2.BMP,1__M_Left_middle_3.BMP,genuine,10.0
1__M_Left_ring_1.BMP,1__M_Left_ring_2.BMP,genuine,38.0
1__M_Left_ring_1.BMP,1__M_Left_ring_3.BMP,genuine,64.0
1__M_Left_ring_2.BMP,1__M_Left_ring_3.BMP,genuine,30.0
1__M_Left_thumb_1.BMP,1__M_Left_thumb_2.BMP,genuine,80.0
1__M_Left_thumb_1.BMP,1__M_Left_thumb_3.BMP,genuine,38.0
1__M_Left_thumb_2.BMP,1__M_Left_thumb_3.BMP,genuine,16.0
1__M_Right_index_1.BMP,1__M_Right_index_2.BMP,genuine,50.0
1__M_Right_index_1.BMP,1__M_Right_index_3.BMP,genuine,70.0
1__M_Right_index_2.BMP,1__M_Right_index_3.BMP,genuine,22.0
1__M_Right_little_1.BMP,1__M_Right_little_2.BMP,genuine,30.0
1__M_Right_little_1.BMP,1__M_Right_little_3.BMP,genuine,14.0
1__M_Right_little_2.BMP,1__M_Right_little_3.BMP,genuine,34.0
1__M_Right_middle_1.BMP,1__M_Right_middle_2.BMP,genuine,44.0
1__M_Right_middle_1.BMP,1__M_Right_middle_3.BMP,genuine,40.0
1__M_Right_middle_2.BMP,1__M_Right_middle_3.BMP,genuine,46.0
1__M_Right_ring_1.BMP,1__M_Right_ring_2.BMP,genuine,50.0
1__M_Right_ring_1.BMP,1__M_Right_ring_3.BMP,genuine,76.0
1__M_Right_ring_2.BMP,1__M_Right_ring_3.BMP,genuine,40.0
1__M_Right_thumb_1.BMP,1__M_Right_thumb_2.BMP,genuine,54.0
1__M_Right_thumb_1.BMP,1__M_Right_thumb_3.BMP,genuine,32.0
1__M_Right_thumb_2.BMP,1__M_Right_thumb_3.BMP,genuine,52.0
20__M_Left_index_1.BMP,20__M_Left_index_2.BMP,genuine,18.0
20__M_Left_index_1.BMP,20__M_Left_index_3.BMP,genuine,56.0
20__M_Left_index_2.BMP,20__M_Left_index_3.BMP,genuine,10.0
20__M_Left_little_1.BMP,20__M_Left_little_2.BMP,genuine,14.0
20__M_Left_little_1.BMP,20__M_Left_little_3.BMP,genuine,38.0
20__M_Left_little_2.BMP,20__M_Left_little_3.BMP,genuine,16.0
20__M_Left_middle_1.BMP,20__M_Left_middle_2.BMP,genuine,38.0
